id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385692920204861440,1385692920204861440,2021-04-24 02:01:51 IST,2021-04-24,02:01:51,+0530,1657077212,dashyszn,Brandon,, https://t.co/x2yEGm8C6C,und,[],['https://youtu.be/K4BSW8Dmb6k'],[],13,4,133,[],[],https://twitter.com/DashySZN/status/1385692920204861440,False,,0,,,,,,,,[],,,,
1385434599304556546,1385434599304556546,2021-04-23 08:55:23 IST,2021-04-23,08:55:23,+0530,1657077212,dashyszn,Brandon,,🤯🤯🤯,und,[],[],[],50,85,4004,[],[],https://twitter.com/DashySZN/status/1385434599304556546,False,,0,,,,,,,,[],,,,
1385081883478745089,1385081883478745089,2021-04-22 09:33:49 IST,2021-04-22,09:33:49,+0530,1657077212,dashyszn,Brandon,,@MaTtKs  https://t.co/4Fylftvgi3,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzjMoBDUYAEEh8w.jpg'],1,1,40,[],[],https://twitter.com/DashySZN/status/1385081883478745089,False,,1,https://pbs.twimg.com/tweet_video_thumb/EzjMoBDUYAEEh8w.jpg,,,,,,,[],,,,
1385074620210958338,1385074308389736448,2021-04-22 09:04:57 IST,2021-04-22,09:04:57,+0530,1657077212,dashyszn,Brandon,,"@IssaDarkness yeee it's ""DASHY""",en,[],[],[],1,0,5,[],[],https://twitter.com/DashySZN/status/1385074620210958338,False,,0,,,,,,,,"[{'screen_name': 'IssaDarkness', 'name': 'Dev', 'id': '1102704366023254017'}]",,,,
1385024654499192832,1385021272187301888,2021-04-22 05:46:24 IST,2021-04-22,05:46:24,+0530,1657077212,dashyszn,Brandon,,@Gunr72 @DylanEnvoy convos were funny asf my guy 😂,en,[],[],[],3,0,625,[],[],https://twitter.com/DashySZN/status/1385024654499192832,False,,0,,,,,,,,"[{'screen_name': 'Gunr72', 'name': 'Sameer', 'id': '323375293'}, {'screen_name': 'DylanEnvoy', 'name': 'OpTic Envoy', 'id': '925159100257849345'}]",,,,
1384957516946288643,1384950601407209474,2021-04-22 01:19:37 IST,2021-04-22,01:19:37,+0530,1657077212,dashyszn,Brandon,,@CrypticNoHoes us?? 😭,und,[],[],[],7,2,614,[],[],https://twitter.com/DashySZN/status/1384957516946288643,False,,0,,,,,,,,"[{'screen_name': 'CrypticNoHoes', 'name': 'cryptic incognito', 'id': '1357094550033039361'}]",,,,
1384950742822305795,1384950601407209474,2021-04-22 00:52:42 IST,2021-04-22,00:52:42,+0530,1657077212,dashyszn,Brandon,,@CrypticNoHoes @ me next time...,en,[],[],[],2,5,675,[],[],https://twitter.com/DashySZN/status/1384950742822305795,False,,0,,,,,,,,"[{'screen_name': 'CrypticNoHoes', 'name': 'cryptic incognito', 'id': '1357094550033039361'}]",,,,
1384945850112221189,1384945850112221189,2021-04-22 00:33:16 IST,2021-04-22,00:33:16,+0530,1657077212,dashyszn,Brandon,,NickMercs is different...,en,[],[],[],34,85,4433,[],[],https://twitter.com/DashySZN/status/1384945850112221189,False,,0,,,,,,,,[],,,,
1384941225879515137,1384939661722853378,2021-04-22 00:14:53 IST,2021-04-22,00:14:53,+0530,1657077212,dashyszn,Brandon,,@iLLeYYY @ItsLauraBearr bro laura was final for a bit no bs 😂😂,en,[],[],[],0,0,60,[],[],https://twitter.com/DashySZN/status/1384941225879515137,False,,0,,,,,,,,"[{'screen_name': 'iLLeYYY', 'name': 'Empire iLLeY', 'id': '540448059'}, {'screen_name': 'ItsLauraBearr', 'name': 'Laura ʕ•ᴥ•ʔ', 'id': '547216527'}]",,,,
1384939661722853378,1384939661722853378,2021-04-22 00:08:40 IST,2021-04-22,00:08:40,+0530,1657077212,dashyszn,Brandon,,@ItsLauraBearr hold a iron real quick,en,[],[],[],5,1,114,[],[],https://twitter.com/DashySZN/status/1384939661722853378,False,,0,,,,,,,,[],,,,
1384752046750973955,1384752046750973955,2021-04-21 11:43:10 IST,2021-04-21,11:43:10,+0530,1657077212,dashyszn,Brandon,,@ACHES 👀,und,[],[],[],3,0,188,[],[],https://twitter.com/DashySZN/status/1384752046750973955,False,,0,,,,,,,,[],,,,
1384751800306311168,1384751343307534339,2021-04-21 11:42:11 IST,2021-04-21,11:42:11,+0530,1657077212,dashyszn,Brandon,,@SaintsNato bro mo is finding any way possible to camera rn 😭,en,[],[],[],2,1,220,[],[],https://twitter.com/DashySZN/status/1384751800306311168,False,,0,,,,,,,,"[{'screen_name': 'SaintsNato', 'name': 'NYSL Nat0', 'id': '271697994'}]",,,,
1384751343307534339,1384751343307534339,2021-04-21 11:40:22 IST,2021-04-21,11:40:22,+0530,1657077212,dashyszn,Brandon,,4/20 update for sure,en,[],[],[],23,82,3017,[],[],https://twitter.com/DashySZN/status/1384751343307534339,False,,0,,,,,,,,[],,,,
1384714100203270146,1384714100203270146,2021-04-21 09:12:22 IST,2021-04-21,09:12:22,+0530,1657077212,dashyszn,Brandon,,@TeddyRecKs 3v3/4v4 chall?,und,[],[],[],4,0,65,[],[],https://twitter.com/DashySZN/status/1384714100203270146,False,,0,,,,,,,,[],,,,
1384334755907334144,1384331453874380802,2021-04-20 08:05:00 IST,2021-04-20,08:05:00,+0530,1657077212,dashyszn,Brandon,,@OctaneSam @JKap415 rEGgiE mILlEr,no,[],[],[],5,1,180,[],[],https://twitter.com/DashySZN/status/1384334755907334144,False,,0,,,,,,,,"[{'screen_name': 'OctaneSam', 'name': 'Sam Larew', 'id': '1861916071'}, {'screen_name': 'JKap415', 'name': 'Jordan Kaplan', 'id': '252791673'}]",,,,
1384333829968588800,1384331453874380802,2021-04-20 08:01:19 IST,2021-04-20,08:01:19,+0530,1657077212,dashyszn,Brandon,,@JKap415 @OctaneSam who tf is willing to argue that 😭😭,en,[],[],[],6,1,281,[],[],https://twitter.com/DashySZN/status/1384333829968588800,False,,0,,,,,,,,"[{'screen_name': 'JKap415', 'name': 'Jordan Kaplan', 'id': '252791673'}, {'screen_name': 'OctaneSam', 'name': 'Sam Larew', 'id': '1861916071'}]",,,,
1384333650720804866,1384011122026504198,2021-04-20 08:00:36 IST,2021-04-20,08:00:36,+0530,1657077212,dashyszn,Brandon,,@aBeZy appreciate it goat 🙏🏽🐐,en,[],[],[],0,1,161,[],[],https://twitter.com/DashySZN/status/1384333650720804866,False,,0,,,,,,,,"[{'screen_name': 'aBeZy', 'name': 'FaZe aBeZy', 'id': '2991273945'}]",,,,
1384330725990694912,1384330725990694912,2021-04-20 07:48:59 IST,2021-04-20,07:48:59,+0530,1657077212,dashyszn,Brandon,,@TJHaLy  https://t.co/I0zAR4XVuY,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzYhc5_VUAMTaL5.jpg'],2,5,238,[],[],https://twitter.com/DashySZN/status/1384330725990694912,False,,1,https://pbs.twimg.com/tweet_video_thumb/EzYhc5_VUAMTaL5.jpg,,,,,,,[],,,,
1384330029400793089,1384330029400793089,2021-04-20 07:46:13 IST,2021-04-20,07:46:13,+0530,1657077212,dashyszn,Brandon,,Steph Curry is incredible. Wow,en,[],[],[],24,72,1996,[],[],https://twitter.com/DashySZN/status/1384330029400793089,False,,0,,,,,,,,[],,,,
1384307003598594048,1384307003598594048,2021-04-20 06:14:43 IST,2021-04-20,06:14:43,+0530,1657077212,dashyszn,Brandon,,Appreciate everyone for the birthday wishes!! Let’s make 22 the best year yet ya feeeeeeeel 😎🥂,en,[],[],[],37,26,2167,[],[],https://twitter.com/DashySZN/status/1384307003598594048,False,,0,,,,,,,,[],,,,
1384306766687526920,1384306243578126344,2021-04-20 06:13:47 IST,2021-04-20,06:13:47,+0530,1657077212,dashyszn,Brandon,,@PacmanJT we went over this bro.. CK in 7 😂 appreciate it my guy 🙏🏽,en,[],[],[],0,1,24,[],[],https://twitter.com/DashySZN/status/1384306766687526920,False,,0,,,,,,,,"[{'screen_name': 'PacmanJT', 'name': 'Jonathan Tucker', 'id': '211308151'}]",,,,
1384306055765659649,1384305235263328257,2021-04-20 06:10:57 IST,2021-04-20,06:10:57,+0530,1657077212,dashyszn,Brandon,,@Loony thank you goat appreciate it 🙏🏽🐐,en,[],[],[],0,1,106,[],[],https://twitter.com/DashySZN/status/1384306055765659649,False,,0,,,,,,,,"[{'screen_name': 'Loony', 'name': 'Surge Loony', 'id': '335532964'}]",,,,
1384305025250304005,1384011122026504198,2021-04-20 06:06:51 IST,2021-04-20,06:06:51,+0530,1657077212,dashyszn,Brandon,,@UAquaa ayeee good looks brotha uly🙏🏽,en,[],[],[],0,1,36,[],[],https://twitter.com/DashySZN/status/1384305025250304005,False,,0,,,,,,,,"[{'screen_name': 'UAquaa', 'name': 'AquA', 'id': '323099683'}]",,,,
