id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385696168466952194,1385696168466952194,2021-04-24 02:14:46 IST,2021-04-24,02:14:46,+0530,252751061,quicktake,Bloomberg Quicktake,,"A lawyer for Ghislaine Maxwell, who pleaded not guilty to additional sex crimes charges Friday, claimed she is being held in ""very, very, very difficult conditions"" at the federal Metropolitan Detention Center in Brooklyn due to the ""Epstein effect""  https://t.co/yIscbTQN8r  https://t.co/58qyyjZ1en",en,[],['https://trib.al/OhLpxic'],[],2,1,2,[],[],https://twitter.com/Quicktake/status/1385696168466952194,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385695895153528842/img/folRLN_mWHeDyKwZ.jpg,,,,,,,[],,,,
1385686059091169283,1385686059091169283,2021-04-24 01:34:35 IST,2021-04-24,01:34:35,+0530,252751061,quicktake,Bloomberg Quicktake,,"""China has as much interest in seeing us reduce these emissions and create an equilibrium as we do,"" @JohnKerry tells @BloombergTV, adding: ""we’ve reached the point in the climate crisis where it is now more expensive not to do something than it is to do the something.”  https://t.co/5YbEB2UoC8",en,"[{'screen_name': 'johnkerry', 'name': 'john kerry', 'id': '15007149'}, {'screen_name': 'bloombergtv', 'name': 'bloomberg tv', 'id': '35002876'}]",[],[],1,10,23,[],[],https://twitter.com/Quicktake/status/1385686059091169283,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385685763904442373/img/xmQFgmDWKHlPqCZf.jpg,,,,,,,[],,,,
1385682926461931530,1385682926461931530,2021-04-24 01:22:09 IST,2021-04-24,01:22:09,+0530,252751061,quicktake,Bloomberg Quicktake,,Freezing April temperatures in the U.S. Midwest may have damaged maturing winter wheat. What’s the outlook for this season’s crop? Presented by @CMEGroup  https://t.co/sXysHRtYz8,en,"[{'screen_name': 'cmegroup', 'name': 'cme group', 'id': '15935591'}]",[],[],1,5,4,[],[],https://twitter.com/Quicktake/status/1385682926461931530,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385682326596825097/img/s2AQNvPuBBiRls6L.jpg,,,,,,,[],,,,
1385682831922368516,1385682831922368516,2021-04-24 01:21:46 IST,2021-04-24,01:21:46,+0530,252751061,quicktake,Bloomberg Quicktake,,A scientist stopped by and made a Covid vaccine in @LauermanJohn’s kitchen  https://t.co/haTlbqtyNz  https://t.co/IU221tKFuJ,en,"[{'screen_name': 'lauermanjohn', 'name': 'john lauerman', 'id': '2527932066'}]",['https://trib.al/1WOsxNN'],[],1,9,12,[],[],https://twitter.com/Quicktake/status/1385682831922368516,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385628210864472073/img/0nlLhyDdYJd7bdZ1.jpg,,,,,,,[],,,,
1385671028672708612,1385671028672708612,2021-04-24 00:34:52 IST,2021-04-24,00:34:52,+0530,252751061,quicktake,Bloomberg Quicktake,,Four banks pledged $6 trillion in sustainable finance. The billions they’ll save in taxes is just one of the benefits.  @maxabelson joined Quicktake to break it down  https://t.co/12UMk2NESa  https://t.co/UsRACIDjJk,en,"[{'screen_name': 'maxabelson', 'name': 'max abelson', 'id': '61023448'}]",['https://trib.al/o5b5g5k'],[],2,4,6,[],[],https://twitter.com/Quicktake/status/1385671028672708612,False,,1,https://pbs.twimg.com/media/Ezr2WRTWUAIaazs.jpg,,,,,,,[],,,,
1385667281481617420,1385667281481617420,2021-04-24 00:19:59 IST,2021-04-24,00:19:59,+0530,252751061,quicktake,Bloomberg Quicktake,,"Republican Caitlyn Jenner, a vocal supporter of former President Trump, announced her candidacy for governor of California on Friday, calling herself a ""compassionate disruptor"" who will ""finally clean up the damage Newsom has done to this state""  https://t.co/VEtuWwn0tJ  https://t.co/1oO1CjrEmA",en,[],['https://trib.al/IHrKfKH'],[],3,2,11,[],[],https://twitter.com/Quicktake/status/1385667281481617420,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385666980229914632/img/uwZmY5svAWkybYYN.jpg,,,,,,,[],,,,
1385660892625395718,1385660892625395718,2021-04-23 23:54:35 IST,2021-04-23,23:54:35,+0530,252751061,quicktake,Bloomberg Quicktake,,"Art ""moves from people,"" Oscar-winning screenwriter and chair of the Yale School of Drama @octarell told @karentoulon on this week's ""Black in Focus.""  ""People will always find a way"" to come together through art, he said  https://t.co/58u0qYoiDn",en,"[{'screen_name': 'octarell', 'name': 'tarell', 'id': '2727852383'}, {'screen_name': 'karentoulon', 'name': 'karen amanda toulon', 'id': '298021332'}]",[],[],0,2,6,[],[],https://twitter.com/Quicktake/status/1385660892625395718,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385660588899065857/img/gNZ2gLOf3eiXo1YI.jpg,,,,,,,[],,,,
1385659933430059012,1385659933430059012,2021-04-23 23:50:47 IST,2021-04-23,23:50:47,+0530,252751061,quicktake,Bloomberg Quicktake,,"""It is a dire situation that we're trying to help in any way we can.""  Fauci says the U.S. will try to help India deal with its record-breaking Covid surge as hospitals in the country pleaded with the government to replenish their oxygen supplies  https://t.co/mPJsqleZiH  https://t.co/nYOtw12GEd",en,[],['https://trib.al/KW5JQsZ'],[],7,29,49,[],[],https://twitter.com/Quicktake/status/1385659933430059012,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385659640030142466/img/iq_QNUY7t1CxtavE.jpg,,,,,,,[],,,,
1385656489310818311,1385656489310818311,2021-04-23 23:37:05 IST,2021-04-23,23:37:05,+0530,252751061,quicktake,Bloomberg Quicktake,,🌎 “My generation sees how the planet continues to be exploited for profit. We need the business leaders of the world to step up and invest in renewable energy.”  Activist @AlexandriaV2005 discusses the youth climate movement. Watch more:  https://t.co/FkrnWLmLjx  https://t.co/56EiUJiSf1,en,"[{'screen_name': 'alexandriav2005', 'name': 'alexandria villaseñor', 'id': '1071817859414806528'}]",['https://trib.al/F7CwFx7'],[],3,13,23,[],[],https://twitter.com/Quicktake/status/1385656489310818311,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385293891822395395/img/VE9Hno_xkycs5RQD.jpg,,,,,,,[],,,,
1385656297379573761,1385656297379573761,2021-04-23 23:36:20 IST,2021-04-23,23:36:20,+0530,252751061,quicktake,Bloomberg Quicktake,,"Oscar-winning screenwriter @octarell says any industry that isn't looking to tell the stories connected to the experiences of people of color is missing out.  ""People of color are the global majority,"" he told @karentoulon on this week's ""Black in Focus""  https://t.co/Ke4SfI6cZD",en,"[{'screen_name': 'octarell', 'name': 'tarell', 'id': '2727852383'}, {'screen_name': 'karentoulon', 'name': 'karen amanda toulon', 'id': '298021332'}]",[],[],1,2,6,[],[],https://twitter.com/Quicktake/status/1385656297379573761,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385656001412616196/img/1D4iqHqsXWdgMW0J.jpg,,,,,,,[],,,,
1385650753562464259,1385650753562464259,2021-04-23 23:14:18 IST,2021-04-23,23:14:18,+0530,252751061,quicktake,Bloomberg Quicktake,,"Oscar-winning screenwriter @octarell spoke with @karentoulon on this week's ""Black in Focus"" about the difficulty of capturing people's attention in the age of endless scrolling  https://t.co/VpytDiwATF",en,"[{'screen_name': 'octarell', 'name': 'tarell', 'id': '2727852383'}, {'screen_name': 'karentoulon', 'name': 'karen amanda toulon', 'id': '298021332'}]",[],[],1,3,9,[],[],https://twitter.com/Quicktake/status/1385650753562464259,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385650478143393794/img/kNQrDLbc-c6Uj-rM.jpg,,,,,,,[],,,,
1385647317076824064,1385647317076824064,2021-04-23 23:00:39 IST,2021-04-23,23:00:39,+0530,252751061,quicktake,Bloomberg Quicktake,,"Oscar-winning screenwriter @octarell says he hasn't seen all the Best Picture nominees, but he says the inclusion of more diverse producers sends a powerful message.  He spoke with @karentoulon on this week's ""Black in Focus""  https://t.co/0BMyPlG0MC",en,"[{'screen_name': 'octarell', 'name': 'tarell', 'id': '2727852383'}, {'screen_name': 'karentoulon', 'name': 'karen amanda toulon', 'id': '298021332'}]",[],[],0,3,8,[],[],https://twitter.com/Quicktake/status/1385647317076824064,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385647045118156800/img/Db_II-O5ym_Rt3-i.jpg,,,,,,,[],,,,
1385631648633532420,1385631648633532420,2021-04-23 21:58:23 IST,2021-04-23,21:58:23,+0530,252751061,quicktake,Bloomberg Quicktake,,"In rare praise for Putin, Biden said Friday he was ""heartened"" by the Russian president's call to ""collaborate and advance carbon dioxide removal"" at his global climate summit  https://t.co/So0OoQT8Ab  https://t.co/iwom2UuByj",en,[],['https://trib.al/RISMDFi'],[],4,9,25,[],[],https://twitter.com/Quicktake/status/1385631648633532420,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385631376695828486/img/ai8kdfwiouPJIXpQ.jpg,,,,,,,[],,,,
1385629804465205249,1385629804465205249,2021-04-23 21:51:03 IST,2021-04-23,21:51:03,+0530,252751061,quicktake,Bloomberg Quicktake,,"What's the significance of Simone Biles's departure from Nike for Gap's Athleta brand?  @sarahhalzack: ""This is huge.""  @jasonkellynews: ""It symbolizes a lot about the power that athletes are taking back.""  Read the full story here  https://t.co/y7D4sZewPK  https://t.co/sADkSdsLJv",en,"[{'screen_name': 'sarahhalzack', 'name': 'sarah halzack', 'id': '55653151'}, {'screen_name': 'jasonkellynews', 'name': 'jason kelly', 'id': '305771333'}]",['https://trib.al/D6sebjJ'],[],0,11,15,[],[],https://twitter.com/Quicktake/status/1385629804465205249,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385628275515478021/img/lIttV2ChJ6yKpgXz.jpg,,,,,,,[],,,,
1385629426365386756,1385629426365386756,2021-04-23 21:49:33 IST,2021-04-23,21:49:33,+0530,252751061,quicktake,Bloomberg Quicktake,,"On the second day of his global climate summit, Biden said fighting climate change is ""an opportunity to create millions of good-paying jobs around the world""  https://t.co/EvsQJ2Ut4v  https://t.co/ONxzGv27RM",en,[],['https://trib.al/ifP2oEN'],[],5,10,12,[],[],https://twitter.com/Quicktake/status/1385629426365386756,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385629150917111811/img/DyimRIn9_SwYZ0jW.jpg,,,,,,,[],,,,
